Z,symbol,name,category,appearance,atomic_mass,electron_configuration,discovered_by,named_by,phase,summary,source
73,Ta,Tantalum,transition metal,gray blue,180.947882,[Xe] 4f14 5d3 6s2,Anders Gustaf Ekeberg,,Solid,"Tantalum is a chemical element with symbol Ta and atomic number 73. Previously known as tantalium, its name comes from Tantalus, an antihero from Greek mythology. Tantalum is a rare, hard, blue-gray, lustrous transition metal that is highly corrosion-resistant.",https://en.wikipedia.org/wiki/Tantalum
74,W,Tungsten,transition metal,"grayish white, lustrous",183.841,[Xe] 4f14 5d4 6s2,Carl Wilhelm Scheele,,Solid,"Tungsten, also known as wolfram, is a chemical element with symbol W and atomic number 74. The word tungsten comes from the Swedish language tung sten, which directly translates to heavy stone. Its name in Swedish is volfram, however, in order to distinguish it from scheelite, which in Swedish is alternatively named tungsten.",https://en.wikipedia.org/wiki/Tungsten
75,Re,Rhenium,transition metal,silvery-grayish,186.2071,[Xe] 4f14 5d5 6s2,Masataka Ogawa,Walter Noddack,Solid,"Rhenium is a chemical element with symbol Re and atomic number 75. It is a silvery-white, heavy, third-row transition metal in group 7 of the periodic table. With an estimated average concentration of 1 part per billion (ppb), rhenium is one of the rarest elements in the Earth's crust.",https://en.wikipedia.org/wiki/Rhenium
76,Os,Osmium,transition metal,"silvery, blue cast",190.233,[Xe] 4f14 5d6 6s2,Smithson Tennant,,Solid,"Osmium (from Greek osme (ὀσμή) meaning ""smell"") is a chemical element with symbol Os and atomic number 76. It is a hard, brittle, bluish-white transition metal in the platinum group that is found as a trace element in alloys, mostly in platinum ores. Osmium is the densest naturally occurring element, with a density of 22.59 g/cm3.",https://en.wikipedia.org/wiki/Osmium
77,Ir,Iridium,transition metal,silvery white,192.2173,[Xe] 4f14 5d7 6s2,Smithson Tennant,,Solid,"Iridium is a chemical element with symbol Ir and atomic number 77. A very hard, brittle, silvery-white transition metal of the platinum group, iridium is generally credited with being the second densest element (after osmium) based on measured density, although calculations involving the space lattices of the elements show that iridium is denser. It is also the most corrosion-resistant metal, even at temperatures as high as 2000 °C. Although only certain molten salts and halogens are corrosive to solid iridium, finely divided iridium dust is much more reactive and can be flammable.",https://en.wikipedia.org/wiki/Iridium
78,Pt,Platinum,transition metal,silvery white,195.0849,[Xe] 4f14 5d9 6s1,Antonio de Ulloa,,Solid,"Platinum is a chemical element with symbol Pt and atomic number 78. It is a dense, malleable, ductile, highly unreactive, precious, gray-white transition metal. Its name is derived from the Spanish term platina, which is literally translated into ""little silver"".",https://en.wikipedia.org/wiki/Platinum
79,Au,Gold,transition metal,metallic yellow,196.9665695,[Xe] 4f14 5d10 6s1,Middle East,,Solid,"Gold is a chemical element with symbol Au (from Latin:aurum) and atomic number 79. In its purest form, it is a bright, slightly reddish yellow, dense, soft, malleable and ductile metal. Chemically, gold is a transition metal and a group 11 element.",https://en.wikipedia.org/wiki/Gold
80,Hg,Mercury,transition metal,silvery,200.5923,[Xe] 4f14 5d10 6s2,"unknown, before 2000 BCE",,Liquid,"Mercury is a chemical element with symbol Hg and atomic number 80. It is commonly known as quicksilver and was formerly named hydrargyrum (/haɪˈdrɑːrdʒərəm/). A heavy, silvery d-block element, mercury is the only metallic element that is liquid at standard conditions for temperature and pressure; the only other element that is liquid under these conditions is bromine, though metals such as caesium, gallium, and rubidium melt just above room temperature.",https://en.wikipedia.org/wiki/Mercury (Element)
81,Tl,Thallium,post-transition metal,silvery white,204.38,[Xe] 4f14 5d10 6s2 6p1,William Crookes,,Solid,"Thallium is a chemical element with symbol Tl and atomic number 81. This soft gray post-transition metal is not found free in nature. When isolated, it resembles tin, but discolors when exposed to air.",https://en.wikipedia.org/wiki/Thallium
82,Pb,Lead,post-transition metal,metallic gray,207.21,[Xe] 4f14 5d10 6s2 6p2,Middle East,,Solid,"Lead (/lɛd/) is a chemical element in the carbon group with symbol Pb (from Latin:plumbum) and atomic number 82. Lead is a soft, malleable and heavy post-transition metal. Metallic lead has a bluish-white color after being freshly cut, but it soon tarnishes to a dull grayish color when exposed to air.",https://en.wikipedia.org/wiki/Lead_(element)
83,Bi,Bismuth,post-transition metal,lustrous silver,208.980401,[Xe] 4f14 5d10 6s2 6p3,Claude François Geoffroy,,Solid,"Bismuth is a chemical element with symbol Bi and atomic number 83. Bismuth, a pentavalent post-transition metal, chemically resembles arsenic and antimony. Elemental bismuth may occur naturally, although its sulfide and oxide form important commercial ores.",https://en.wikipedia.org/wiki/Bismuth
84,Po,Polonium,post-transition metal,silvery,209,[Xe] 4f14 5d10 6s2 6p4,Pierre Curie,,Solid,"Polonium is a chemical element with symbol Po and atomic number 84, discovered in 1898 by Marie Curie and Pierre Curie. A rare and highly radioactive element with no stable isotopes, polonium is chemically similar to bismuth and tellurium, and it occurs in uranium ores. Applications of polonium are few.",https://en.wikipedia.org/wiki/Polonium
85,At,Astatine,metalloid,"unknown, probably metallic",210,[Xe] 4f14 5d10 6s2 6p5,Dale R. Corson,,Solid,"Astatine is a very rare radioactive chemical element with the chemical symbol At and atomic number 85. It occurs on Earth as the decay product of various heavier elements. All its isotopes are short-lived; the most stable is astatine-210, with a half-life of 8.1 hours.",https://en.wikipedia.org/wiki/Astatine
86,Rn,Radon,noble gas,"colorless gas, occasionally glows green or red in discharge tubes",222,[Xe] 4f14 5d10 6s2 6p6,Friedrich Ernst Dorn,,Gas,"Radon is a chemical element with symbol Rn and atomic number 86. It is a radioactive, colorless, odorless, tasteless noble gas, occurring naturally as a decay product of radium. Its most stable isotope, 222Rn, has a half-life of 3.8 days.",https://en.wikipedia.org/wiki/Radon
87,Fr,Francium,alkali metal,,223,[Rn] 7s1,Marguerite Perey,,Solid,"Francium is a chemical element with symbol Fr and atomic number 87. It used to be known as eka-caesium and actinium K. It is the second-least electronegative element, behind only caesium. Francium is a highly radioactive metal that decays into astatine, radium, and radon.",https://en.wikipedia.org/wiki/Francium
88,Ra,Radium,alkaline earth metal,silvery white metallic,226,[Rn] 7s2,Pierre Curie,,Solid,"Radium is a chemical element with symbol Ra and atomic number 88. It is the sixth element in group 2 of the periodic table, also known as the alkaline earth metals. Pure radium is almost colorless, but it readily combines with nitrogen (rather than oxygen) on exposure to air, forming a black surface layer of radium nitride (Ra3N2).",https://en.wikipedia.org/wiki/Radium
89,Ac,Actinium,actinide,,227,[Rn] 6d1 7s2,Friedrich Oskar Giesel,,Solid,"Actinium is a radioactive chemical element with symbol Ac (not to be confused with the abbreviation for an acetyl group) and atomic number 89, which was discovered in 1899. It was the first non-primordial radioactive element to be isolated. Polonium, radium and radon were observed before actinium, but they were not isolated until 1902.",https://en.wikipedia.org/wiki/Actinium
90,Th,Thorium,actinide,"silvery, often with black tarnish",232.03774,[Rn] 6d2 7s2,Jöns Jakob Berzelius,,Solid,"Thorium is a chemical element with symbol Th and atomic number 90. A radioactive actinide metal, thorium is one of only two significantly radioactive elements that still occur naturally in large quantities as a primordial element (the other being uranium). It was discovered in 1828 by the Norwegian Reverend and amateur mineralogist Morten Thrane Esmark and identified by the Swedish chemist Jöns Jakob Berzelius, who named it after Thor, the Norse god of thunder.",https://en.wikipedia.org/wiki/Thorium
91,Pa,Protactinium,actinide,"bright, silvery metallic luster",231.035882,[Rn] 5f2 6d1 7s2,William Crookes,Otto Hahn,Solid,"Protactinium is a chemical element with symbol Pa and atomic number 91. It is a dense, silvery-gray metal which readily reacts with oxygen, water vapor and inorganic acids. It forms various chemical compounds where protactinium is usually present in the oxidation state +5, but can also assume +4 and even +2 or +3 states.",https://en.wikipedia.org/wiki/Protactinium
92,U,Uranium,actinide,,238.028913,[Rn] 5f3 6d1 7s2,Martin Heinrich Klaproth,,Solid,"Uranium is a chemical element with symbol U and atomic number 92. It is a silvery-white metal in the actinide series of the periodic table. A uranium atom has 92 protons and 92 electrons, of which 6 are valence electrons.",https://en.wikipedia.org/wiki/Uranium
93,Np,Neptunium,actinide,silvery metallic,237,[Rn] 5f4 6d1 7s2,Edwin McMillan,,Solid,"Neptunium is a chemical element with symbol Np and atomic number 93. A radioactive actinide metal, neptunium is the first transuranic element. Its position in the periodic table just after uranium, named after the planet Uranus, led to it being named after Neptune, the next planet beyond Uranus.",https://en.wikipedia.org/wiki/Neptunium
94,Pu,Plutonium,actinide,"silvery white, tarnishing to dark gray in air",244,[Rn] 5f6 7s2,Glenn T. Seaborg,,Solid,"Plutonium is a transuranic radioactive chemical element with symbol Pu and atomic number 94. It is an actinide metal of silvery-gray appearance that tarnishes when exposed to air, and forms a dull coating when oxidized. The element normally exhibits six allotropes and four oxidation states.",https://en.wikipedia.org/wiki/Plutonium
95,Am,Americium,actinide,silvery white,243,[Rn] 5f7 7s2,Glenn T. Seaborg,,Solid,"Americium is a radioactive transuranic chemical element with symbol Am and atomic number 95. This member of the actinide series is located in the periodic table under the lanthanide element europium, and thus by analogy was named after the Americas. Americium was first produced in 1944 by the group of Glenn T.Seaborg from Berkeley, California, at the metallurgical laboratory of University of Chicago.",https://en.wikipedia.org/wiki/Americium
96,Cm,Curium,actinide,"silvery metallic, glows purple in the dark",247,[Rn] 5f7 6d1 7s2,Glenn T. Seaborg,,Solid,"Curium is a transuranic radioactive chemical element with symbol Cm and atomic number 96. This element of the actinide series was named after Marie and Pierre Curie – both were known for their research on radioactivity. Curium was first intentionally produced and identified in July 1944 by the group of Glenn T. Seaborg at the University of California, Berkeley.",https://en.wikipedia.org/wiki/Curium
97,Bk,Berkelium,actinide,silvery,247,[Rn] 5f9 7s2,Lawrence Berkeley National Laboratory,,Solid,"Berkelium is a transuranic radioactive chemical element with symbol Bk and atomic number 97. It is a member of the actinide and transuranium element series. It is named after the city of Berkeley, California, the location of the University of California Radiation Laboratory where it was discovered in December 1949.",https://en.wikipedia.org/wiki/Berkelium
98,Cf,Californium,actinide,silvery,251,[Rn] 5f10 7s2,Lawrence Berkeley National Laboratory,,Solid,"Californium is a radioactive metallic chemical element with symbol Cf and atomic number 98. The element was first made in 1950 at the University of California Radiation Laboratory in Berkeley, by bombarding curium with alpha particles (helium-4 ions). It is an actinide element, the sixth transuranium element to be synthesized, and has the second-highest atomic mass of all the elements that have been produced in amounts large enough to see with the unaided eye (after einsteinium).",https://en.wikipedia.org/wiki/Californium
99,Es,Einsteinium,actinide,silver-colored,252,[Rn] 5f11 7s2,Lawrence Berkeley National Laboratory,,Solid,"Einsteinium is a synthetic element with symbol Es and atomic number 99. It is the seventh transuranic element, and an actinide. Einsteinium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952, and named after Albert Einstein.",https://en.wikipedia.org/wiki/Einsteinium
100,Fm,Fermium,actinide,,257,[Rn] 5f12 7s2,Lawrence Berkeley National Laboratory,,Solid,"Fermium is a synthetic element with symbol Fm and atomic number 100. It is a member of the actinide series. It is the heaviest element that can be formed by neutron bombardment of lighter elements, and hence the last element that can be prepared in macroscopic quantities, although pure fermium metal has not yet been prepared.",https://en.wikipedia.org/wiki/Fermium
101,Md,Mendelevium,actinide,,258,[Rn] 5f13 7s2,Lawrence Berkeley National Laboratory,,Solid,"Mendelevium is a synthetic element with chemical symbol Md (formerly Mv) and atomic number 101. A metallic radioactive transuranic element in the actinide series, it is the first element that currently cannot be produced in macroscopic quantities through neutron bombardment of lighter elements. It is the antepenultimate actinide and the ninth transuranic element.",https://en.wikipedia.org/wiki/Mendelevium
102,No,Nobelium,actinide,,259,[Rn] 5f14 7s2,Joint Institute for Nuclear Research,,Solid,"Nobelium is a synthetic chemical element with symbol No and atomic number 102. It is named in honor of Alfred Nobel, the inventor of dynamite and benefactor of science. A radioactive metal, it is the tenth transuranic element and is the penultimate member of the actinide series.",https://en.wikipedia.org/wiki/Nobelium
103,Lr,Lawrencium,actinide,,266,[Rn] 5f14 7s2 7p1,Lawrence Berkeley National Laboratory,,Solid,"Lawrencium is a synthetic chemical element with chemical symbol Lr (formerly Lw) and atomic number 103. It is named in honor of Ernest Lawrence, inventor of the cyclotron, a device that was used to discover many artificial radioactive elements. A radioactive metal, lawrencium is the eleventh transuranic element and is also the final member of the actinide series.",https://en.wikipedia.org/wiki/Lawrencium
104,Rf,Rutherfordium,transition metal,,267,[Rn] 5f14 6d2 7s2,Joint Institute for Nuclear Research,,Solid,"Rutherfordium is a chemical element with symbol Rf and atomic number 104, named in honor of physicist Ernest Rutherford. It is a synthetic element (an element that can be created in a laboratory but is not found in nature) and radioactive; the most stable known isotope, 267Rf, has a half-life of approximately 1.3 hours. In the periodic table of the elements, it is a d - block element and the second of the fourth - row transition elements.",https://en.wikipedia.org/wiki/Rutherfordium
105,Db,Dubnium,transition metal,,268,*[Rn] 5f14 6d3 7s2,Joint Institute for Nuclear Research,,Solid,"Dubnium is a chemical element with symbol Db and atomic number 105. It is named after the town of Dubna in Russia (north of Moscow), where it was first produced. It is a synthetic element (an element that can be created in a laboratory but is not found in nature) and radioactive; the most stable known isotope, dubnium-268, has a half-life of approximately 28 hours.",https://en.wikipedia.org/wiki/Dubnium
106,Sg,Seaborgium,transition metal,,269,*[Rn] 5f14 6d4 7s2,Lawrence Berkeley National Laboratory,,Solid,Seaborgium is a synthetic element with symbol Sg and atomic number 106. Its most stable isotope 271Sg has a half-life of 1.9 minutes. A more recently discovered isotope 269Sg has a potentially slightly longer half-life (ca.,https://en.wikipedia.org/wiki/Seaborgium
107,Bh,Bohrium,transition metal,,270,*[Rn] 5f14 6d5 7s2,Gesellschaft für Schwerionenforschung,,Solid,"Bohrium is a chemical element with symbol Bh and atomic number 107. It is named after Danish physicist Niels Bohr. It is a synthetic element (an element that can be created in a laboratory but is not found in nature) and radioactive; the most stable known isotope, 270Bh, has a half-life of approximately 61 seconds.",https://en.wikipedia.org/wiki/Bohrium
108,Hs,Hassium,transition metal,,269,*[Rn] 5f14 6d6 7s2,Gesellschaft für Schwerionenforschung,,Solid,"Hassium is a chemical element with symbol Hs and atomic number 108, named after the German state of Hesse. It is a synthetic element (an element that can be created in a laboratory but is not found in nature) and radioactive; the most stable known isotope, 269Hs, has a half-life of approximately 9.7 seconds, although an unconfirmed metastable state, 277mHs, may have a longer half-life of about 130 seconds. More than 100 atoms of hassium have been synthesized to date.",https://en.wikipedia.org/wiki/Hassium
109,Mt,Meitnerium,"unknown, probably transition metal",,278,*[Rn] 5f14 6d7 7s2,Gesellschaft für Schwerionenforschung,,Solid,"Meitnerium is a chemical element with symbol Mt and atomic number 109. It is an extremely radioactive synthetic element (an element not found in nature that can be created in a laboratory). The most stable known isotope, meitnerium-278, has a half-life of 7.6 seconds.",https://en.wikipedia.org/wiki/Meitnerium
110,Ds,Darmstadtium,"unknown, probably transition metal",,281,*[Rn] 5f14 6d9 7s1,Gesellschaft für Schwerionenforschung,,Solid,"Darmstadtium is a chemical element with symbol Ds and atomic number 110. It is an extremely radioactive synthetic element. The most stable known isotope, darmstadtium-281, has a half-life of approximately 10 seconds.",https://en.wikipedia.org/wiki/Darmstadtium
111,Rg,Roentgenium,"unknown, probably transition metal",,282,*[Rn] 5f14 6d10 7s1,Gesellschaft für Schwerionenforschung,,Solid,"Roentgenium is a chemical element with symbol Rg and atomic number 111. It is an extremely radioactive synthetic element (an element that can be created in a laboratory but is not found in nature); the most stable known isotope, roentgenium-282, has a half-life of 2.1 minutes. Roentgenium was first created in 1994 by the GSI Helmholtz Centre for Heavy Ion Research near Darmstadt, Germany.",https://en.wikipedia.org/wiki/Roentgenium
112,Cn,Copernicium,transition metal,,285,*[Rn] 5f14 6d10 7s2,Gesellschaft für Schwerionenforschung,,Liquid,"Copernicium is a chemical element with symbol Cn and atomic number 112. It is an extremely radioactive synthetic element that can only be created in a laboratory. The most stable known isotope, copernicium-285, has a half-life of approximately 29 seconds, but it is possible that this copernicium isotope may have a nuclear isomer with a longer half-life, 8.9 min.",https://en.wikipedia.org/wiki/Copernicium
113,Nh,Nihonium,"unknown, probably transition metal",,286,*[Rn] 5f14 6d10 7s2 7p1,RIKEN,,Solid,"Nihonium is a chemical element with atomic number 113. It has a symbol Nh. It is a synthetic element (an element that can be created in a laboratory but is not found in nature) and is extremely radioactive; its most stable known isotope, nihonium-286, has a half-life of 20 seconds.",https://en.wikipedia.org/wiki/Ununtrium
114,Fl,Flerovium,post-transition metal,,289,*[Rn] 5f14 6d10 7s2 7p2,Joint Institute for Nuclear Research,,Solid,"Flerovium is a superheavy artificial chemical element with symbol Fl and atomic number 114. It is an extremely radioactive synthetic element. The element is named after the Flerov Laboratory of Nuclear Reactions of the Joint Institute for Nuclear Research in Dubna, Russia, where the element was discovered in 1998.",https://en.wikipedia.org/wiki/Flerovium
115,Mc,Moscovium,"unknown, probably post-transition metal",,289,*[Rn] 5f14 6d10 7s2 7p3,Joint Institute for Nuclear Research,,Solid,"Moscovium is the name of a synthetic superheavy element in the periodic table that has the symbol Mc and has the atomic number 115. It is an extremely radioactive element; its most stable known isotope, moscovium-289, has a half-life of only 220 milliseconds. It is also known as eka-bismuth or simply element 115.",https://en.wikipedia.org/wiki/Ununpentium
116,Lv,Livermorium,"unknown, probably post-transition metal",,293,*[Rn] 5f14 6d10 7s2 7p4,Joint Institute for Nuclear Research,,Solid,"Livermorium is a synthetic superheavy element with symbol Lv and atomic number 116. It is an extremely radioactive element that has only been created in the laboratory and has not been observed in nature. The element is named after the Lawrence Livermore National Laboratory in the United States, which collaborated with the Joint Institute for Nuclear Research in Dubna, Russia to discover livermorium in 2000.",https://en.wikipedia.org/wiki/Livermorium
117,Ts,Tennessine,"unknown, probably metalloid",,294,*[Rn] 5f14 6d10 7s2 7p5,Joint Institute for Nuclear Research,,Solid,"Tennessine is a superheavy artificial chemical element with an atomic number of 117 and a symbol of Ts. Also known as eka-astatine or element 117, it is the second-heaviest known element and penultimate element of the 7th period of the periodic table. As of 2016, fifteen tennessine atoms have been observed: six when it was first synthesized in 2010, seven in 2012, and two in 2014.",https://en.wikipedia.org/wiki/Tennessine
118,Og,Oganesson,"unknown, predicted to be noble gas",,294,*[Rn] 5f14 6d10 7s2 7p6,Joint Institute for Nuclear Research,,Solid,"Oganesson is IUPAC's name for the transactinide element with the atomic number 118 and element symbol Og. It is also known as eka-radon or element 118, and on the periodic table of the elements it is a p-block element and the last one of the 7th period. Oganesson is currently the only synthetic member of group 18.",https://en.wikipedia.org/wiki/Oganesson
119,Uue,Ununennium,"unknown, but predicted to be an alkali metal",,315,*[Uuo] 8s1,GSI Helmholtz Centre for Heavy Ion Research,,Solid,"Ununennium, also known as eka-francium or simply element 119, is the hypothetical chemical element with symbol Uue and atomic number 119. Ununennium and Uue are the temporary systematic IUPAC name and symbol respectively, until a permanent name is decided upon. In the periodic table of the elements, it is expected to be an s-block element, an alkali metal, and the first element in the eighth period.",https://en.wikipedia.org/wiki/Ununennium
